xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/AddressUS/AddressLine2,F9_07_PZ_HCICUSADDRLN2,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 2,[CompOfHghstPaidCntrctProfSer] Part VI Line 51; [AddressUS] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/AddressLine1,F9_07_PZ_HCICUSADDRLN1,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 1,[ContractorCompensation] Part VII Section B; [AddressUS] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine1,F9_07_PZ_HCICUSADDRLN1,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 1,[ContractorCompensationGrp] Part VII Section B; [USAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine1Txt,F9_07_PZ_HCICUSADDRLN1,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 1,[ContractorCompensationGrp] Part VII Section B; [USAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/AddressOfContractor/AddressUS/AddressLine1,F9_07_PC_CCAOCAALINE11,F9_07_CONTXRS_ADDR_US,21,Address US - AddressLine1,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/AddressLine2,F9_07_PZ_HCICUSADDRLN2,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 2,[ContractorCompensation] Part VII Section B; [AddressUS] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine2,F9_07_PZ_HCICUSADDRLN2,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 2,[ContractorCompensationGrp] Part VII Section B; [USAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine2Txt,F9_07_PZ_HCICUSADDRLN2,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 2,[ContractorCompensationGrp] Part VII Section B; [USAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/AddressOfContractor/AddressUS/AddressLine2,F9_07_PC_CCAOCAALINE22,F9_07_CONTXRS_ADDR_US,21,Address US - AddressLine2,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
/Return/ReturnData/IRS990EZ/CompensationOfHghstPdCntrctGrp/BusinessName/BusinessNameLine1,F9_07_PZ_HCICBUSNAMELN1,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 1,,F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,BusinessNameLine1Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,,,,,,
/Return/ReturnData/IRS990EZ/CompensationOfHghstPdCntrctGrp/BusinessName/BusinessNameLine1Txt,F9_07_PZ_HCICBUSNAMELN1,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 1,,F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,BusinessNameLine1Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,,,,,,
/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/NameBusiness/BusinessNameLine1,F9_07_PZ_HCICBUSNAMELN1,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 1,,F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,BusinessNameLine1Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,,,,,,
/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/NameBusiness/BusinessNameLine2,F9_07_PZ_HCICBUSNAMELN2,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 2,,F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,BusinessNameLine2Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,,,,,,
/Return/ReturnData/IRS990/ContractorCompensation/NameOfContractor/NameBusiness/BusinessNameLine1,F9_07_PZ_HCICBUSNAMELN1,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 1,[ContractorCompensation] Part VII Section B; [NameBusiness] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,BusinessNameLine1Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorName/BusinessName/BusinessNameLine1,F9_07_PZ_HCICBUSNAMELN1,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 1,[ContractorCompensationGrp] Part VII Section B; [BusinessName] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,BusinessNameLine1Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorName/BusinessName/BusinessNameLine1Txt,F9_07_PZ_HCICBUSNAMELN1,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 1,[ContractorCompensationGrp] Part VII Section B; [BusinessName] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,BusinessNameLine1Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/NameOfContractor/NameBusiness/BusinessNameLine1,F9_07_PC_CCNOCNBBNLIN1,F9_07_CONTXRS_BIZ_NAME,22,Name Business - BusinessNameLine1,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
/Return/ReturnData/IRS990/ContractorCompensation/NameOfContractor/NameBusiness/BusinessNameLine2,F9_07_PZ_HCICBUSNAMELN2,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 2,[ContractorCompensation] Part VII Section B; [NameBusiness] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,BusinessNameLine2Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorName/BusinessName/BusinessNameLine2,F9_07_PZ_HCICBUSNAMELN2,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 2,[ContractorCompensationGrp] Part VII Section B; [BusinessName] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,BusinessNameLine2Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorName/BusinessName/BusinessNameLine2Txt,F9_07_PZ_HCICBUSNAMELN2,F9_07_CONTXRS_BIZ_NAME,22,Highest compensated independent contractor (top 5 above 100K) business name line 2,[ContractorCompensationGrp] Part VII Section B; [BusinessName] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,BusinessNameLine2Type,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/NameOfContractor/NameBusiness/BusinessNameLine2,F9_07_PC_CCNOCNBBNLIN2,F9_07_CONTXRS_BIZ_NAME,22,Name Business - BusinessNameLine2,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/AddressForeign/City,F9_07_PZ_HCICFORADDRCITY,F9_07_CONTXRS_CITY_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address city,[CompOfHghstPaidCntrctProfSer] Part VI Line 51; [AddressForeign] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,TextType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/City,F9_07_PZ_HCICFORADDRCITY,F9_07_CONTXRS_CITY_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address city,[ContractorCompensation] Part VII Section B; [AddressForeign] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,TextType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/City,F9_07_PZ_HCICFORADDRCITY,F9_07_CONTXRS_CITY_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address city,[ContractorCompensationGrp] Part VII Section B; [ForeignAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,TextType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/CityNm,F9_07_PZ_HCICFORADDRCITY,F9_07_CONTXRS_CITY_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address city,[ContractorCompensationGrp] Part VII Section B; [ForeignAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,TextType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/AddressOfContractor/AddressForeign/City,F9_07_PC_CCAOCAFCITY,F9_07_CONTXRS_CITY_FRGN,23,Address Foreign - City,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
/Return/ReturnData/IRS990EZ/CompensationOfHghstPdCntrctGrp/USAddress/City,F9_07_PZ_HCICUSADDRCITY,F9_07_CONTXRS_CITY_US,21,Highest compensated independent contractor (top 5 above 100K) US address city,[CompensationOfHghstPdCntrctGrp] Part VI Line 51; [USAddress] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,CityType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990EZ/CompensationOfHghstPdCntrctGrp/USAddress/CityNm,F9_07_PZ_HCICUSADDRCITY,F9_07_CONTXRS_CITY_US,21,Highest compensated independent contractor (top 5 above 100K) US address city,[CompensationOfHghstPdCntrctGrp] Part VI Line 51; [USAddress] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,CityType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/AddressUS/City,F9_07_PZ_HCICUSADDRCITY,F9_07_CONTXRS_CITY_US,21,Highest compensated independent contractor (top 5 above 100K) US address city,[CompOfHghstPaidCntrctProfSer] Part VI Line 51; [AddressUS] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,CityType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/City,F9_07_PZ_HCICUSADDRCITY,F9_07_CONTXRS_CITY_US,21,Highest compensated independent contractor (top 5 above 100K) US address city,[ContractorCompensation] Part VII Section B; [AddressUS] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,CityType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/City,F9_07_PZ_HCICUSADDRCITY,F9_07_CONTXRS_CITY_US,21,Highest compensated independent contractor (top 5 above 100K) US address city,[ContractorCompensationGrp] Part VII Section B; [USAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,CityType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/CityNm,F9_07_PZ_HCICUSADDRCITY,F9_07_CONTXRS_CITY_US,21,Highest compensated independent contractor (top 5 above 100K) US address city,[ContractorCompensationGrp] Part VII Section B; [USAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,CityType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/AddressOfContractor/AddressUS/City,F9_07_PC_CCAOCACITY,F9_07_CONTXRS_CITY_US,21,Address US - City,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
