xpath,variable_name,rdb_relationship,rdb_table,label,description,location_code_xsd,location_code_family,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/AddressChange,F9_00_FORM_ADDR_CHANGE_X,ONE,F9-P00-T00-HEADER,Address change [x],Indicates this form has an address change,[AddressChange] B,F990-PC-PART-00-SECTION-B,F990-PC-PART-00-SECTION-B,F990,PC,PART-00,Section B,HD,CheckboxType,checkbox,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/AddressChangeInd,F9_00_FORM_ADDR_CHANGE_X,ONE,F9-P00-T00-HEADER,Address change [x],Indicates this form has an address change,[AddressChangeInd] B,F990-PC-PART-00-SECTION-B,F990-PC-PART-00-SECTION-B,F990,PC,PART-00,Section B,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/AddressChange,F9_00_FORM_ADDR_CHANGE_X,ONE,F9-P00-T00-HEADER,Address change [x],Indicates this return has an address change,,F990-PC-PART-00-SECTION-B,F990-PC-PART-00-SECTION-B,F990,PC,PART-00,Section B,HD,,checkbox,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990EZ/AddressChange,F9_00_FORM_ADDR_CHANGE_X,ONE,F9-P00-T00-HEADER,Address change [x],Indicates this form has an address change,[AddressChange] B,F990-PC-PART-00-SECTION-B,F990-EZ-PART-00-SECTION-B,F990,EZ,PART-00,Section B,HD,CheckboxType,checkbox,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/AddressChangeInd,F9_00_FORM_ADDR_CHANGE_X,ONE,F9-P00-T00-HEADER,Address change [x],Indicates this form has an address change,[AddressChangeInd] B,F990-PC-PART-00-SECTION-B,F990-EZ-PART-00-SECTION-B,F990,EZ,PART-00,Section B,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/GrossReceipts,F9_00_GRO_RCPT,ONE,F9-P00-T00-HEADER,Gross receipts,Gross receipts,,F990-PC-PART-00-SECTION-G,F990-PC-PART-00-SECTION-G,F990,PC,PART-00,Section G,HD,,numeric,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990/GrossReceipts,F9_00_GRO_RCPT,ONE,F9-P00-T00-HEADER,Gross receipts,Gross Receipts (Header),[GrossReceipts] G,F990-PC-PART-00-SECTION-G,F990-PC-PART-00-SECTION-G,F990,PC,PART-00,Section G,HD,,numeric,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/GrossReceiptsAmt,F9_00_GRO_RCPT,ONE,F9-P00-T00-HEADER,Gross receipts,Gross Receipts (Header),[GrossReceiptsAmt] G,F990-PC-PART-00-SECTION-G,F990-PC-PART-00-SECTION-G,F990,PC,PART-00,Section G,HD,,numeric,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/GrossReceipts,F9_00_GRO_RCPT,ONE,F9-P00-T00-HEADER,Gross receipts,Gross Receipts (Header),[GrossReceipts] L,F990-PC-PART-00-SECTION-G,F990-EZ-PART-00-SECTION-L,F990,EZ,PART-00,Section L,HD,USAmountNNType,numeric,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/GrossReceiptsAmt,F9_00_GRO_RCPT,ONE,F9-P00-T00-HEADER,Gross receipts,Gross Receipts (Header),[GrossReceiptsAmt] L,F990-PC-PART-00-SECTION-G,F990-EZ-PART-00-SECTION-L,F990,EZ,PART-00,Section L,HD,USAmountNNType,numeric,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/GroupExemptionNumber,F9_00_GROUP_EXEMPT_NUM,ONE,F9-P00-T00-HEADER,Group exemption number,Group exemption number,,F990-PC-PART-00-SECTION-HC,F990-PC-PART-00-SECTION-HC,F990,PC,PART-00,Section H(c),HD,,numeric,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990/GroupExemptionNum,F9_00_GROUP_EXEMPT_NUM,ONE,F9-P00-T00-HEADER,Group exemption number,Group exemption number,[GroupExemptionNum] H(c),F990-PC-PART-00-SECTION-HC,F990-PC-PART-00-SECTION-HC,F990,PC,PART-00,Section H(c),HD,StringType,numeric,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/GroupExemptionNumber,F9_00_GROUP_EXEMPT_NUM,ONE,F9-P00-T00-HEADER,Group exemption number,Group exemption number,[GroupExemptionNumber] H(c),F990-PC-PART-00-SECTION-HC,F990-PC-PART-00-SECTION-HC,F990,PC,PART-00,Section H(c),HD,StringType,numeric,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/GroupExemptionNum,F9_00_GROUP_EXEMPT_NUM,ONE,F9-P00-T00-HEADER,Group exemption number,Group exemption number,[GroupExemptionNum] F,F990-PC-PART-00-SECTION-HC,F990-EZ-PART-00-SECTION-F,F990,EZ,PART-00,Section F,HD,StringType,numeric,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/GroupExemptionNumber,F9_00_GROUP_EXEMPT_NUM,ONE,F9-P00-T00-HEADER,Group exemption number,Group exemption number,[GroupExemptionNumber] F,F990-PC-PART-00-SECTION-HC,F990-EZ-PART-00-SECTION-F,F990,EZ,PART-00,Section F,HD,StringType,numeric,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/CountryLegalDomicile,F9_00_LEGAL_DMCL_CNTR,ONE,F9-P00-T00-HEADER,Country of legal domicile,Countryof legam domicile,[CountryLegalDomicile] M,F990-PC-PART-00-SECTION-M,F990-PC-PART-00-SECTION-M,F990,PC,PART-00,Section M,HD,CountryType,text,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/CountryLegalDomicile,F9_00_LEGAL_DMCL_CNTR,ONE,F9-P00-T00-HEADER,Country of legal domicile,Country of legal domicile,,F990-PC-PART-00-SECTION-M,F990-PC-PART-00-SECTION-M,F990,PC,PART-00,Section M,HD,,text,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990/LegalDomicileCountryCd,F9_00_LEGAL_DMCL_CNTR,ONE,F9-P00-T00-HEADER,Country of legal domicile,Countryof legam domicile,[LegalDomicileCountryCd] M,F990-PC-PART-00-SECTION-M,F990-PC-PART-00-SECTION-M,F990,PC,PART-00,Section M,HD,CountryType,text,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/StateLegalDomicile,F9_00_LEGAL_DMCL_STATE,ONE,F9-P00-T00-HEADER,State of legal domicile,State of legal domicile,,F990-PC-PART-00-SECTION-M,F990-PC-PART-00-SECTION-M,F990,PC,PART-00,Section M,HD,,text,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990/LegalDomicileStateCd,F9_00_LEGAL_DMCL_STATE,ONE,F9-P00-T00-HEADER,State of legal domicile,State of legal domicile,[LegalDomicileStateCd] M,F990-PC-PART-00-SECTION-M,F990-PC-PART-00-SECTION-M,F990,PC,PART-00,Section M,HD,StateType,text,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/StateLegalDomicile,F9_00_LEGAL_DMCL_STATE,ONE,F9-P00-T00-HEADER,State of legal domicile,State of legal domicile,[StateLegalDomicile] M,F990-PC-PART-00-SECTION-M,F990-PC-PART-00-SECTION-M,F990,PC,PART-00,Section M,HD,StateType,text,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/BusinessNameControlTxt,F9_00_NAME_ORG_CTRL,ONE,F9-P00-T00-HEADER,Organization name,Name of Filing Organization (Control Text),,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,BusinessNameControlType,text,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/NameControl,F9_00_NAME_ORG_CTRL,ONE,F9-P00-T00-HEADER,Organization name,Name of Filing Organization (Control Text),,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,BusinessNameControlType,text,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/USAddress/City,F9_00_ORG_ADDR_CITY,ONE,F9-P00-T00-HEADER,Organization city,Address of Filing Organization (US City),,F990-PC-PART-00-SECTION-C,F990-EZ-PART-00-SECTION-C,F990,EZ,PART-00,Section C,HD,,text,FALSE,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990EZ/USAddress/CityNm,F9_00_ORG_ADDR_CITY,ONE,F9-P00-T00-HEADER,Organization city,Address of Filing Organization (US City),,F990-PC-PART-00-SECTION-C,F990-EZ-PART-00-SECTION-C,F990,EZ,PART-00,Section C,HD,,text,FALSE,,NA,NA,NA,NA,NA
/Return/ReturnHeader/Filer/ForeignAddress/City,F9_00_ORG_ADDR_CITY,ONE,F9-P00-T00-HEADER,Organization city,Address of Filing Organization (Foreign City),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,TextType,text,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0;2013v3.0;2013v3.1;2013v4.0,2013,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/ForeignAddress/CityNm,F9_00_ORG_ADDR_CITY,ONE,F9-P00-T00-HEADER,Organization city,Address of Filing Organization (Foreign City),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,TextType,text,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/USAddress/City,F9_00_ORG_ADDR_CITY,ONE,F9-P00-T00-HEADER,Organization city,Address of Filing Organization (US City),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,CityType,text,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0;2013v3.0;2013v3.1;2013v4.0,2013,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/USAddress/CityNm,F9_00_ORG_ADDR_CITY,ONE,F9-P00-T00-HEADER,Organization city,Address of Filing Organization (US City),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,CityType,text,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/ForeignAddress/Country,F9_00_ORG_ADDR_CNTR,ONE,F9-P00-T00-HEADER,Organization country,Address of Filing Organization (Foreign Country),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,CountryType,text,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0;2013v3.0;2013v3.1;2013v4.0,2013,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/ForeignAddress/CountryCd,F9_00_ORG_ADDR_CNTR,ONE,F9-P00-T00-HEADER,Organization country,Address of Filing Organization (Foreign Country),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,CountryType,text,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/InCareOfNm,F9_00_ORG_ADDR_IN_CARE_OF,ONE,F9-P00-T00-HEADER,In care of,In care of,,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,InCareOfNameType,text,NA,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/USAddress/AddressLine1,F9_00_ORG_ADDR_L1,ONE,F9-P00-T00-HEADER,Organization street address line 1,Address of Filing Organization (US Line 1),,F990-PC-PART-00-SECTION-C,F990-EZ-PART-00-SECTION-C,F990,EZ,PART-00,Section C,HD,,text,FALSE,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990EZ/USAddress/AddressLine1Txt,F9_00_ORG_ADDR_L1,ONE,F9-P00-T00-HEADER,Organization street address line 1,Address of Filing Organization (US Line 1),,F990-PC-PART-00-SECTION-C,F990-EZ-PART-00-SECTION-C,F990,EZ,PART-00,Section C,HD,,text,FALSE,,NA,NA,NA,NA,NA
/Return/ReturnHeader/Filer/ForeignAddress/AddressLine1,F9_00_ORG_ADDR_L1,ONE,F9-P00-T00-HEADER,Organization street address line 1,Address of Filing Organization (Foreign Line 1),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,StreetAddressType,text,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0;2013v3.0;2013v3.1;2013v4.0,2013,FALSE,TRUE,NA,NA
/Return/ReturnHeader/Filer/ForeignAddress/AddressLine1Txt,F9_00_ORG_ADDR_L1,ONE,F9-P00-T00-HEADER,Organization street address line 1,Address of Filing Organization (Foreign Line 1),,F990-PC-PART-00-SECTION-C,F990-PC-PART-00-SECTION-C,F990,PC,PART-00,Section C,HD,StreetAddressType,text,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
