xpath,variable_name ,description,location_code_xsd,location_code,form,form_part,form_line_number,scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table ,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleC/Section4955ManagersTaxAmt,SC_01_EXCISE_TAX_4955_MGR,Enter the amount of any excise tax incurred by organization managers under section 4955,[Section4955ManagersTaxAmt] Part I-B Line 2,SCHED-C-PART-01-B-LINE-2,SCHED-C,PART-01-B,Line 2,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/AmtOf4955TaxOnManagers,SC_01_EXCISE_TAX_4955_MGR,Enter the amount of any excise tax incurred by organization managers under section 4955,,SCHED-C-PART-01-B-LINE-2,SCHED-C,PART-01-B,Line 2,PZ,,numeric,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/Form4720Filed4955Tax,SC_01_FORM_4720_FILED,If the filing organization incurred in a section 4955 tax; did it file Form 4720 for this year?,[Form4720Filed4955Tax] Part I-B Line 3,SCHED-C-PART-01-B-LINE-3,SCHED-C,PART-01-B,Line 3,PZ,BooleanType,text,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form4720FiledSection4955TaxInd,SC_01_FORM_4720_FILED,If the filing organization incurred in a section 4955 tax; did it file Form 4720 for this year?,[Form4720FiledSection4955TaxInd] Part I-B Line 3,SCHED-C-PART-01-B-LINE-3,SCHED-C,PART-01-B,Line 3,PZ,BooleanType,text,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Form4720Filed4955Tax,SC_01_FORM_4720_FILED,If the filing organization incurred in a section 4955 tax; did it file Form 4720 for this year?,,SCHED-C-PART-01-B-LINE-3,SCHED-C,PART-01-B,Line 3,PZ,,text,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/CorrectionMade,SC_01_FORM_4720_CORRECTED,Was a correction made?,[CorrectionMade] Part I-B Line 4a,SCHED-C-PART-01-B-LINE-4a,SCHED-C,PART-01-B,Line 4a,PZ,BooleanType,text,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/CorrectionMadeInd,SC_01_FORM_4720_CORRECTED,Was a correction made?,[CorrectionMadeInd] Part I-B Line 4a,SCHED-C-PART-01-B-LINE-4a,SCHED-C,PART-01-B,Line 4a,PZ,BooleanType,text,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/CorrectionMade,SC_01_FORM_4720_CORRECTED,Was a correction made?,,SCHED-C-PART-01-B-LINE-4a,SCHED-C,PART-01-B,Line 4a,PZ,,text,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/AmtExpendedFor527Activities,SC_01_AMT_EXPND_527_ACT,Enter the amount directly expended by the filing organization for section 527 exempt function activities,[AmtExpendedFor527Activities] Part I-C Line 1,SCHED-C-PART-01-C-LINE-1,SCHED-C,PART-01-C,Line 1,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Expended527ActivitiesAmt,SC_01_AMT_EXPND_527_ACT,Enter the amount directly expended by the filing organization for section 527 exempt function activities,[Expended527ActivitiesAmt] Part I-C Line 1,SCHED-C-PART-01-C-LINE-1,SCHED-C,PART-01-C,Line 1,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/AmtExpendedFor527Activities,SC_01_AMT_EXPND_527_ACT,Enter the amount directly expended by the filing organization for section 527 exempt function activities,,SCHED-C-PART-01-C-LINE-1,SCHED-C,PART-01-C,Line 1,PZ,,numeric,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/AmtOfInternalFundsContributed,SC_01_AMT_INTEFUND_CONTR,Enter the amount of the filing organization's own internal funds contributed to other organizations for section 527 exempt function activities,[AmtOfInternalFundsContributed] Part I-C Line 2,SCHED-C-PART-01-C-LINE-2,SCHED-C,PART-01-C,Line 2,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/InternalFundsContributedAmt,SC_01_AMT_INTEFUND_CONTR,Enter the amount of the filing organization's own internal funds contributed to other organizations for section 527 exempt function activities,[InternalFundsContributedAmt] Part I-C Line 2,SCHED-C-PART-01-C-LINE-2,SCHED-C,PART-01-C,Line 2,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/AmtOfInternalFundsContributed,SC_01_AMT_INTEFUND_CONTR,Enter the amount of the filing organization's own internal funds contributed to other organizations for section 527 exempt function activities,,SCHED-C-PART-01-C-LINE-2,SCHED-C,PART-01-C,Line 2,PZ,,numeric,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/TotalExemptFunctionExpendAmt,SC_01_TOT_EXM_FUNC_EXPEND,Total of direct and indirect exempt function expenditures. Add lines 1 and 2,[TotalExemptFunctionExpendAmt] Part I-C Line 3,SCHED-C-PART-01-C-LINE-3,SCHED-C,PART-01-C,Line 3,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/TotalExmptFunctionExpenditures,SC_01_TOT_EXM_FUNC_EXPEND,Total of direct and indirect exempt function expenditures. Add lines 1 and 2,[TotalExmptFunctionExpenditures] Part I-C Line 3,SCHED-C-PART-01-C-LINE-3,SCHED-C,PART-01-C,Line 3,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/TotalExmptFunctionExpenditures,SC_01_TOT_EXM_FUNC_EXPEND,Total of direct and indirect exempt function expenditures. Add lines 1 and 2,,SCHED-C-PART-01-C-LINE-3,SCHED-C,PART-01-C,Line 3,PZ,,numeric,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/Form1120PolFiled,SC_01_FORM1120_FILED,Did the filing organization file Form 1120-POL for this year?,[Form1120PolFiled] Part I-C Line 4,SCHED-C-PART-01-C-LINE-4,SCHED-C,PART-01-C,Line 4,PZ,BooleanType,text,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form1120POLFiledInd,SC_01_FORM1120_FILED,Did the filing organization file Form 1120-POL for this year?,[Form1120POLFiledInd] Part I-C Line 4,SCHED-C-PART-01-C-LINE-4,SCHED-C,PART-01-C,Line 4,PZ,BooleanType,text,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Form1120PolFiled,SC_01_FORM1120_FILED,Did the filing organization file Form 1120-POL for this year?,,SCHED-C-PART-01-C-LINE-4,SCHED-C,PART-01-C,Line 4,PZ,,text,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/Sec527PolOrgs/NameOf527Organization/BusinessNameLine1,SC_01_ORG_NAME_L1,Sec527 Pol Orgs - BusinessNameLine1,[NameOf527Organization] Part I-C Line 5(a),SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,BusinessNameLine1Type,text,one-to-many,SC-TABLE-01-SUPER-PACS,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/OrganizationBusinessName/BusinessNameLine1,SC_01_ORG_NAME_L1,Sec527 Pol Orgs - BusinessNameLine1,[OrganizationBusinessName] Part I-C Line 5(a),SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,BusinessNameLine1Type,text,one-to-many,SC-TABLE-01-SUPER-PACS,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/OrganizationBusinessName/BusinessNameLine1Txt,SC_01_ORG_NAME_L1,Sec527 Pol Orgs - BusinessNameLine1,[OrganizationBusinessName] Part I-C Line 5(a),SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,BusinessNameLine1Type,text,one-to-many,SC-TABLE-01-SUPER-PACS,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Sec527PolOrgs/NameOf527Organization/BusinessNameLine1,SC_01_ORG_NAME_L1,Sec527 Pol Orgs - BusinessNameLine1,,SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,,,,,,
/Return/ReturnData/IRS990ScheduleC/Sec527PolOrgs/NameOf527Organization/BusinessNameLine2,SC_01_ORG_NAME_L2,Sec527 Pol Orgs - BusinessNameLine2,[NameOf527Organization] Part I-C Line 5(a),SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,BusinessNameLine2Type,text,one-to-many,SC-TABLE-01-SUPER-PACS,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/OrganizationBusinessName/BusinessNameLine2,SC_01_ORG_NAME_L2,Sec527 Pol Orgs - BusinessNameLine2,[OrganizationBusinessName] Part I-C Line 5(a),SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,BusinessNameLine2Type,text,one-to-many,SC-TABLE-01-SUPER-PACS,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/OrganizationBusinessName/BusinessNameLine2Txt,SC_01_ORG_NAME_L2,Sec527 Pol Orgs - BusinessNameLine2,[OrganizationBusinessName] Part I-C Line 5(a),SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,BusinessNameLine2Type,text,one-to-many,SC-TABLE-01-SUPER-PACS,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Sec527PolOrgs/NameOf527Organization/BusinessNameLine2,SC_01_ORG_NAME_L2,Sec527 Pol Orgs - BusinessNameLine2,,SCHED-C-PART-01-C-LINE-5-COL-(a),SCHED-C,PART-01-C,Line 5 Column(a),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,,,,,,
/Return/ReturnData/IRS990ScheduleC/Sec527PolOrgs/AddressForeign/City,SC_01_ORG_ADDR_CITY,Sec527 Pol Orgs-Address Foreign - City,[AddressForeign] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,TextType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/City,SC_01_ORG_ADDR_CITY,Sec527 Pol Orgs-Address Foreign - City,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,TextType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/CityNm,SC_01_ORG_ADDR_CITY,Sec527 Pol Orgs-Address Foreign - City,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,TextType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Sec527PolOrgs/AddressForeign/City,SC_01_ORG_ADDR_CITY,Sec527 Pol Orgs-Address Foreign - City,,SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,,,,,,
/Return/ReturnData/IRS990ScheduleC/Sec527PolOrgs/AddressForeign/Country,SC_01_ORG_ADDR_CNTR,Sec527 Pol Orgs-Address Foreign - Country,[AddressForeign] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,CountryType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/Country,SC_01_ORG_ADDR_CNTR,Sec527 Pol Orgs-Address Foreign - Country,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,CountryType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/CountryCd,SC_01_ORG_ADDR_CNTR,Sec527 Pol Orgs-Address Foreign - Country,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,CountryType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Sec527PolOrgs/AddressForeign/Country,SC_01_ORG_ADDR_CNTR,Sec527 Pol Orgs-Address Foreign - Country,,SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,,,,,,
/Return/ReturnData/IRS990ScheduleC/Sec527PolOrgs/AddressForeign/AddressLine1,SC_01_ORG_ADDR_L1,Sec527 Pol Orgs-Address Foreign - AddressLine1,[AddressForeign] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,StreetAddressType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/AddressLine1,SC_01_ORG_ADDR_L1,Sec527 Pol Orgs-Address Foreign - AddressLine1,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,StreetAddressType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/AddressLine1Txt,SC_01_ORG_ADDR_L1,Sec527 Pol Orgs-Address Foreign - AddressLine1,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,StreetAddressType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Sec527PolOrgs/AddressForeign/AddressLine1,SC_01_ORG_ADDR_L1,Sec527 Pol Orgs-Address Foreign - AddressLine1,,SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,,,,,,
/Return/ReturnData/IRS990ScheduleC/Sec527PolOrgs/AddressForeign/AddressLine2,SC_01_ORG_ADDR_L2,Sec527 Pol Orgs-Address Foreign - AddressLine2,[AddressForeign] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/AddressLine2,SC_01_ORG_ADDR_L2,Sec527 Pol Orgs-Address Foreign - AddressLine2,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section527PoliticalOrgGrp/ForeignAddress/AddressLine2Txt,SC_01_ORG_ADDR_L2,Sec527 Pol Orgs-Address Foreign - AddressLine2,[ForeignAddress] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/Sec527PolOrgs/AddressForeign/AddressLine2,SC_01_ORG_ADDR_L2,Sec527 Pol Orgs-Address Foreign - AddressLine2,,SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,,text,one-to-many,SC-TABLE-01-SUPER-PACS,,,,,,
/Return/ReturnData/IRS990ScheduleC/Sec527PolOrgs/AddressForeign/ProvinceOrState,SC_01_ORG_ADDR_STATE,Sec527 Pol Orgs-Address Foreign - Province or state,[AddressForeign] Part I-C Line 5(b),SCHED-C-PART-01-C-LINE-5-COL-(b),SCHED-C,PART-01-C,Line 5 Column(b),PZ,TextType,text,one-to-many,SC-TABLE-01-SUPER-PACS,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
