xpath,variable_name_old ,variable_name_new,len(),description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table ,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddressGrp/StateAbbreviationCd,SA_01_PZ_HONAADSTABBB,SA_01_PCSTAT_HOSPITAL_ADDR_STATE,32,US address State,[HospitalNameAndAddressGrp] Part I Line 4; [StateAbbreviationCd] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,StateType,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/HospitalNameAndAddress/Name/BusinessNameLine1,SA_01_PZ_HNAANBNLINE11,SA_01_PCSTAT_HOSPITAL_NAME_L1,29,Name - BusinessNameLine1,,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/Name/BusinessNameLine1,SA_01_PZ_HNANBNLINE11,SA_01_PCSTAT_HOSPITAL_NAME_L1,29,Name - BusinessNameLine1,[HospitalNameAndAddress] Part I Line 4; [Name] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,BusinessNameLine1Type,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddressGrp/SupportedOrganizationName/BusinessNameLine1,SA_01_PZ_HNASONBNLINE1,SA_01_PCSTAT_HOSPITAL_NAME_L1,29,Supported Organization Name - BusinessNameLine1,[HospitalNameAndAddressGrp] Part I Line 4; [SupportedOrganizationName] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,BusinessNameLine1Type,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddressGrp/SupportedOrganizationName/BusinessNameLine1Txt,SA_01_PZ_HNASONBNLINE1,SA_01_PCSTAT_HOSPITAL_NAME_L1,29,Supported Organization Name - BusinessNameLine1Txt,[HospitalNameAndAddressGrp] Part I Line 4; [SupportedOrganizationName] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,BusinessNameLine1Type,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/HospitalNameAndAddress/Name/BusinessNameLine2,SA_01_PZ_HNAANBNLINE22,SA_01_PCSTAT_HOSPITAL_NAME_L2,29,Name - BusinessNameLine2,,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/Name/BusinessNameLine2,SA_01_PZ_HNANBNLINE22,SA_01_PCSTAT_HOSPITAL_NAME_L2,29,Name - BusinessNameLine2,[HospitalNameAndAddress] Part I Line 4; [Name] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,BusinessNameLine2Type,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddressGrp/SupportedOrganizationName/BusinessNameLine2,SA_01_PZ_HNASONBNLINE2,SA_01_PCSTAT_HOSPITAL_NAME_L2,29,Supported Organization Name - BusinessNameLine2,[HospitalNameAndAddressGrp] Part I Line 4; [SupportedOrganizationName] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,BusinessNameLine2Type,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddressGrp/SupportedOrganizationName/BusinessNameLine2Txt,SA_01_PZ_HNASONBNLINE2,SA_01_PCSTAT_HOSPITAL_NAME_L2,29,Supported Organization Name - BusinessNameLine2Txt,[HospitalNameAndAddressGrp] Part I Line 4; [SupportedOrganizationName] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,BusinessNameLine2Type,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/MedicalResearchOrganizationInd,SA_01_PZ_MEDIRESEORGA,SA_01_PCSTAT_MEDICAL_RESEARCH_X,31,A medical research organization operated in conjunction with a hospital. Section 170(b)(1)(A)(iii),[MedicalResearchOrganizationInd] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/MedicalResearchOrg170b1Aiii,SA_01_PZ_MEDRESORGAII,SA_01_PCSTAT_MEDICAL_RESEARCH_X,31,A medical research organization operated in conjunction with a hospital. Section 170(b)(1)(A)(iii),,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/MedicalResearchOrg170b1Aiii,SA_01_PZ_MEDRESORGAII,SA_01_PCSTAT_MEDICAL_RESEARCH_X,31,A medical research organization operated in conjunction with a hospital. Section 170(b)(1)(A)(iii),[MedicalResearchOrg170b1Aiii] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/CollegeOrganizationInd,SA_01_PZ_COLLEGORGANI,SA_01_PCSTAT_COLLEGE_BENEFIT_X,30,An organization operated for the benefit of a college or university owned or operated by a governmental unit. Section 170(b)(1)(A)(iv).,[CollegeOrganizationInd] Part I Line 5,SCHED-A-PART-01-LINE-05,SCHED-A,SZ,PART-01,Line 05,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/CollegeSupportOrg170b1Aiv,SA_01_PZ_COLSUPORGAIV,SA_01_PCSTAT_COLLEGE_BENEFIT_X,30,An organization operated for the benefit of a college or university owned or operated by a governmental unit. Section 170(b)(1)(A)(iv).,[CollegeSupportOrg170b1Aiv] Part I Line 5,SCHED-A-PART-01-LINE-05,SCHED-A,SZ,PART-01,Line 05,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/CollegeSupportOrg170b1Aiv,SA_01_PZ_COLSUPORGAIV,SA_01_PCSTAT_COLLEGE_BENEFIT_X,30,An organization operated for the benefit of a college or university owned or operated by a governmental unit. Section 170(b)(1)(A)(iv).,,SCHED-A-PART-01-LINE-05,SCHED-A,SZ,PART-01,Line 05,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/GovernmentalUnitInd,SA_01_PZ_GOVERNUNITNI,SA_01_PCSTAT_GOVT_X,19,A Federal; state; or local government or governmental unit. Section 170(b)(1)(A)(v),[GovernmentalUnitInd] Part I Line 6,SCHED-A-PART-01-LINE-06,SCHED-A,SZ,PART-01,Line 06,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/GovernmentalUnit170b1Av,SA_01_PZ_GOVEUNITAVV,SA_01_PCSTAT_GOVT_X,19,A Federal; state; or local government or governmental unit. Section 170(b)(1)(A)(v),,SCHED-A-PART-01-LINE-06,SCHED-A,SZ,PART-01,Line 06,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/GovernmentalUnit170b1Av,SA_01_PZ_GOVEUNITAVV,SA_01_PCSTAT_GOVT_X,19,A Federal; state; or local government or governmental unit. Section 170(b)(1)(A)(v),[GovernmentalUnit170b1Av] Part I Line 6,SCHED-A-PART-01-LINE-06,SCHED-A,SZ,PART-01,Line 06,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/PublicOrganization170Ind,SA_01_PZ_PUBLORGAINDN,SA_01_PCSTAT_GOVT_PUB_SUPPORT_X,31,"An organization that normally receives a substantial part of its support from a governmental unit or from the general public. 			Section 170(b)(1)(A)(vi)",[PublicOrganization170Ind] Part I Line 7,SCHED-A-PART-01-LINE-07,SCHED-A,SZ,PART-01,Line 07,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/PubliclySupportedOrg170b1Avi,SA_01_PZ_PUBSUPORGAVI,SA_01_PCSTAT_GOVT_PUB_SUPPORT_X,31,"An organization that normally receives a substantial part of its support from a governmental unit or from the general public. 			Section 170(b)(1)(A)(vi)",,SCHED-A-PART-01-LINE-07,SCHED-A,SZ,PART-01,Line 07,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/PubliclySupportedOrg170b1Avi,SA_01_PZ_PUBSUPORGAVI,SA_01_PCSTAT_GOVT_PUB_SUPPORT_X,31,"An organization that normally receives a substantial part of its support from a governmental unit or from the general public. 			Section 170(b)(1)(A)(vi)",[PubliclySupportedOrg170b1Avi] Part I Line 7,SCHED-A-PART-01-LINE-07,SCHED-A,SZ,PART-01,Line 07,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/CommunityTrust170b1Avi,SA_01_PZ_COMMTRUSAVIV,SA_01_PCSTAT_COMMUNITY_TRUST_X,30,A community trust. Section 170(b)(1)(A)(vi),[CommunityTrust170b1Avi] Part I Line 8,SCHED-A-PART-01-LINE-08,SCHED-A,SZ,PART-01,Line 08,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/CommunityTrust170b1Avi,SA_01_PZ_COMMTRUSAVIV,SA_01_PCSTAT_COMMUNITY_TRUST_X,30,A community trust. Section 170(b)(1)(A)(vi),,SCHED-A-PART-01-LINE-08,SCHED-A,SZ,PART-01,Line 08,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/CommunityTrustInd,SA_01_PZ_COMMUNTRUSTR,SA_01_PCSTAT_COMMUNITY_TRUST_X,30,A community trust. Section 170(b)(1)(A)(vi),[CommunityTrustInd] Part I Line 8,SCHED-A-PART-01-LINE-08,SCHED-A,SZ,PART-01,Line 08,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/PubliclySupportedOrg509a2,SA_01_PZ_PUBLSUPPORG5,SA_01_PCSTAT_PUB_SUPPORT_X,26,Publicly supported organization 509(a)(2),,SCHED-A-PART-01-LINE-10,SCHED-A,SZ,PART-01,Line 10,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/PubliclySupportedOrg509a2,SA_01_PZ_PUBLSUPPORG5,SA_01_PCSTAT_PUB_SUPPORT_X,26,Publicly supported organization 509(a)(2),[PubliclySupportedOrg509a2] Part I Line 9,SCHED-A-PART-01-LINE-10,SCHED-A,SZ,PART-01,Line 10,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/PubliclySupportedOrg509a2Ind,SA_01_PZ_PUBSUPORGIND,SA_01_PCSTAT_PUB_SUPPORT_X,26,Publicly supported organization 509(a)(2),[PubliclySupportedOrg509a2Ind] Part I Line 10,SCHED-A-PART-01-LINE-10,SCHED-A,SZ,PART-01,Line 10,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2016v3.0,2016,T,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/TestingForPublicSafety509a4,SA_01_PZ_TESFORPUBSAF4,SA_01_PCSTAT_PUB_SAFTY_TEST_X,29,An organization organized and operated to test for public safety. Section 509(a)(4),,SCHED-A-PART-01-LINE-11,SCHED-A,SZ,PART-01,Line 11,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/TestingForPublicSafety509a4,SA_01_PZ_TESFORPUBSAF4,SA_01_PCSTAT_PUB_SAFTY_TEST_X,29,An organization organized and operated to test for public safety. Section 509(a)(4),[TestingForPublicSafety509a4] Part I Line 10,SCHED-A-PART-01-LINE-11,SCHED-A,SZ,PART-01,Line 11,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
