Versions,Source,Line,Description,Type,MinOccur,MaxOccur,Xpath,2007v2.0,2007v2.1,2007v2.10,2007v2.11,2007v2.2,2007v2.3,2007v2.4,2007v2.6,2008v2.10,2008v2.5,2008v2.7,2008v2.9,2009v1.0,2009v1.1,2009v1.2,2009v1.3,2009v1.4,2009v1.7,2010v3.2,2010v3.4,2010v3.6,2010v3.7,2011v1.2,2011v1.3,2011v1.4,2011v1.5,2012v2.0,2012v2.1,2012v2.2,2012v2.3,2012v3.0,2013v3.0,2013v3.1,2013v4.0,2014v5.0,2014v6.0
2006v3.0; 2006v3.1,AffiliatedGroupSchedule,,Indicates an electing organization,CheckboxType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ElectingOrg,,,,,,,,,,,,,,,,,6,61,3,68,,111,53,,,113,,84,5,184,,,,,,
2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,AffiliatedGroupSchedule,,Grassroots Nontaxable Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/GrassrootsNontaxableAmount,,,,,,,,,,,,,,,,,28,327,25,337,,181,197,4,,353,,345,41,375,,,,,,
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,AffiliatedGroupSchedule,,,BusinessNameLine1Type,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,,
2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,,BusinessNameLine1Type,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1Txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,AffiliatedGroupSchedule,,,BusinessNameLine2Type,0,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,EIN,EINType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Indicates an electing organization,CheckboxType,0,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ElectingOrganizationInd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,8,174,33,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Grassroots Nontaxable Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/GrassrootsNontxAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Lobbying Nontaxable Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/LobbyNontxAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Other Exempt Purpose Expenditures Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/OtherExemptPurposeExpendAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Share Of Excess Lobbying Expenditures Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ShareExcessLobbyExpendAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Total Direct Lobbying Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalDirectLobbyAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Total Exempt Purpose Expenditures Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalExemptPurposeExpendAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Total Grassroots Lobbying Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalGrassrootsLobbyAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Total Lobbying Expenditures Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyExpenditureAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Total Lobbying Grassroots Minus Non-Taxable Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyGrssrootMnsNontxAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,Total Lobbying Expenditures Minus Lobbying Non-Taxable Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotLbbyExpendMnsLobbyNontxAmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,AffiliatedGroupSchedule,,,StreetAddressType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,,
2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,,StreetAddressType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine1Txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,AffiliatedGroupSchedule,,,StreetAddressType,0,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,AffiliatedGroupSchedule,,,CityType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,,
2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,,CityType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/CityNm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,AffiliatedGroupSchedule,,,StateType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,,
2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,,StateType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/StateAbbreviationCd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,3
2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,AffiliatedGroupSchedule,,,ZIPCodeType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,3
2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,AffiliatedGroupSchedule,,,ZIPCodeType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,75,435,,
2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,AffiliatedGroupSchedule,,Lobbying Nontaxable Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/LobbyingNontaxableAmount,,,,,,,,,,,,,,,,,28,327,25,337,,181,197,4,,353,,345,41,375,,,,,,
2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,AffiliatedGroupSchedule,,Other Exempt Purpose Expenditures Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/OtherExemptPurposeExpenditures,,,,,,,,,,,,,,,,,28,327,25,337,,181,197,4,,353,,345,41,375,,,,,,
2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,AffiliatedGroupSchedule,,Share Of Excess Lobbying Expenditures Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ShareOfExcessLobbyingExpendtrs,,,,,,,,,,,,,,,,,28,327,25,337,,181,197,4,,353,,345,41,375,,,,,,
2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,AffiliatedGroupSchedule,,Total Direct Lobbying Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalDirectLobbying,,,,,,,,,,,,,,,,,28,327,25,337,,181,197,4,,353,,345,41,375,,,,,,
2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,AffiliatedGroupSchedule,,Total Exempt Purpose Expenditures Amount,USAmountNNType,,,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalExemptPurposeExpenditures,,,,,,,,,,,,,,,,,28,327,25,337,,181,197,4,,353,,345,41,375,,,,,,
