Version,Source,Xpath,Type,Description,Line,MinOccur,MaxOccur
2021v4.2,IRS990,Return/ReturnData/IRS990/DescribedInSection501c3Ind,BooleanType,Described in 501(c)(3)?,Part IV Line 1,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ScheduleBRequiredInd,BooleanType,Schedule B required?,Part IV Line 2,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ConservationEasementsInd,BooleanType,Conservation easements?,Part IV Line 7,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CollectionsOfArtInd,BooleanType,Collections of art?,Part IV Line 8,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CreditCounselingInd,BooleanType,Credit counseling?,Part IV Line 9,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/DonorRstrOrQuasiEndowmentsInd,BooleanType,Donor restricted or quasi endowments?,Part IV Line 10,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ReportLandBuildingEquipmentInd,BooleanType,"Balance sheet land, buildings, equipment amounts reported?",Part IV Line 11a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ReportInvestmentsOtherSecInd,BooleanType,Balance sheet investments - other securities amounts reported?,Part IV Line 11b,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ReportProgramRelatedInvstInd,BooleanType,Balance sheet investments - program related amounts reported?,Part IV Line 11c,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ContractorCompensationGrp/ServicesDesc,LineExplanationType,Description of services,Part VII Section B Line 1(B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ReportOtherAssetsInd,BooleanType,Balance sheet other assets amounts reported?,Part IV Line 11d,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorName/PersonNm,PersonNameType,Name - Person,Part VII Section B Line 1(A),None,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ReportOtherLiabilitiesInd,BooleanType,Balance sheet other liabilities amounts reported?,Part IV Line 11e,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/IncludeFIN48FootnoteInd,BooleanType,Balance sheet footnote for liability under FIN 48?,Part IV Line 11f,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/IndependentAuditFinclStmtInd,BooleanType,Independent audited financial statements?,Part IV Line 12a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ConsolidatedAuditFinclStmtInd,BooleanType,Consolidated audited financial statement?,Part IV Line 12b,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ContractorCompensationGrp/CompensationAmt,USAmountType,Compensation,Part VII Section B Line 1(C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/SchoolOperatingInd,BooleanType,School?,Part IV Line 13,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ForeignOfficeInd,BooleanType,Foreign office?,Part IV Line 14a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ForeignActivitiesInd,BooleanType,"Foreign activities, etc?",Part IV Line 14b,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ProfessionalFundraisingInd,BooleanType,Professional fundraising?,Part IV Line 17,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/MoreThan5000KToOrgInd,BooleanType,"More than $5000 to organizations Part IX, line 3?",Part IV Line 15,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/MoreThan5000KToIndividualsInd,BooleanType,"More than $5000 to individuals Part IX, line 3?",Part IV Line 16,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FundraisingActivitiesInd,BooleanType,Fundraising activities?,Part IV Line 18,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GamingActivitiesInd,BooleanType,Gaming?,Part IV Line 19,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OperateHospitalInd,BooleanType,Hospital?,Part IV Line 20a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/AuditedFinancialStmtAttInd,BooleanType,Audited financial statement attached?,Part IV Line 20b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantsToOrganizationsInd,BooleanType,Grants to organizations?,Part IV Line 21,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantsToIndividualsInd,BooleanType,Grants to individuals?,Part IV Line 22,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ScheduleJRequiredInd,BooleanType,"Part VII, Lines 3, 4, or 5 = ""Yes""?",Part IV Line 23,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/JointCostsInd,CheckboxType,Joint costs?,Part IX Line 26,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TaxExemptBondsInd,BooleanType,Tax exempt bonds?,Part IV Line 24a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/InvestTaxExemptBondsInd,BooleanType,Investment income?,Part IV Line 24b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/InfoInScheduleOPartXInd,CheckboxType,Schedule O contains a response to a question in Part X,Part X,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/EscrowAccountInd,BooleanType,Escrow account?,Part IV Line 24c,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OnBehalfOfIssuerInd,BooleanType,On behalf of issuer?,Part IV Line 24d,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/EngagedInExcessBenefitTransInd,BooleanType,Excess benefit transaction?,Part IV Line 25a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/LoanOutstandingInd,BooleanType,"Loan to officer, director, etc?",Part IV Line 26,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantToRelatedPersonInd,BooleanType,Grant to related person?,Part IV Line 27,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/BusinessRlnWithOrgMemInd,BooleanType,Business relationship with organization?,Part IV Line 28a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/BusinessRlnWithFamMemInd,BooleanType,Business relationship thru family member?,Part IV Line 28b,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PYExcessBenefitTransInd,BooleanType,Prior excess benefit transaction?,Part IV Line 25b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/BusinessRlnWith35CtrlEntInd,BooleanType,Business relationship with 35% controlled entity?,Part IV Line 28c,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/DeductibleNonCashContriInd,BooleanType,Deductible non-cash contributions?,Part IV Line 29,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/LandBldgEquipCostOrOtherBssAmt,USAmountType,"Land, buildings, and equipment basis",Part X Line 10a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/DeductibleArtContributionInd,BooleanType,"Deductible contributions of art, etc?",Part IV Line 30,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/LandBldgEquipAccumDeprecAmt,USAmountType,Less: accumulated depreciation,Part X Line 10b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TerminateOperationsInd,BooleanType,Terminated?,Part IV Line 31,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PartialLiquidationInd,BooleanType,Partial liquidation?,Part IV Line 32,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/DisregardedEntityInd,BooleanType,Disregarded entity?,Part IV Line 33,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/RelatedEntityInd,BooleanType,Related entity?,Part IV Line 34,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/RelatedOrganizationCtrlEntInd,BooleanType,Related organization a controlled entity?,Part IV Line 35a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ActivitiesConductedPrtshpInd,BooleanType,Activities conducted thru partnership?,Part IV Line 37,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TransactionWithControlEntInd,BooleanType,Payment from or engage in transaction with a controlled entity?,Part IV Line 35b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PymtTravelEntrtnmntPubOfclGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PymtTravelEntrtnmntPubOfclGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PymtTravelEntrtnmntPubOfclGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/AllAffiliatesIncludedInd,BooleanType,All affiliates included?,H(b),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/NetIncomeOrLossGrp/RelatedOrExemptFuncIncomeAmt,USAmountType,Related or exempt function revenue,Part VIII Column (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GroupExemptionNum,TextType,Group exemption number,H(c),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/AdvertisingGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/MiscellaneousRevenueGrp/RelatedOrExemptFuncIncomeAmt,USAmountType,Related or exempt function revenue,Part VIII Column (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/NetIncomeOrLossGrp/TotalRevenueColumnAmt,USAmountType,Total revenue,Part VIII Column (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Organization501cInd,CheckboxType,Indicates a 501(c) organization,I,None,None
2021v4.2,IRS990,Return/ReturnData/IRS990/NetIncomeOrLossGrp/ExclusionAmt,USAmountType,"Excluded by section 512, 513, or 514: amount",Part VIII Column (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/NetIncomeOrLossGrp/UnrelatedBusinessRevenueAmt,USAmountType,Unrelated business revenue,Part VIII Column (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Organization527Ind,CheckboxType,Indicates a 527 organization,I,None,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherRevenueMiscGrp/RelatedOrExemptFuncIncomeAmt,USAmountType,Related or exempt function revenue,Part VIII Column (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherRevenueMiscGrp/ExclusionAmt,USAmountType,"Excluded by section 512, 513, or 514: amount",Part VIII Column (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherRevenueMiscGrp/Desc,LineExplanationType,Description,None,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherRevenueMiscGrp/UnrelatedBusinessRevenueAmt,USAmountType,Unrelated business revenue,Part VIII Column (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Organization4947a1NotPFInd,CheckboxType,Indicates a 4947(a)(1) organization,I,None,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherRevenueMiscGrp/BusinessCd,TextType,Business code,Part VIII,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherRevenueMiscGrp/TotalRevenueColumnAmt,USAmountType,Total revenue,Part VIII Column (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CYRevenuesLessExpensesAmt,USAmountType,Revenues less expenses - current year,Part I Line 19,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/AdvertisingGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/MiscellaneousRevenueGrp/TotalRevenueColumnAmt,USAmountType,Total revenue,Part VIII Column (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/WebsiteAddressTxt,LineExplanationType,Web site,J,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/MiscellaneousRevenueGrp/ExclusionAmt,USAmountType,"Excluded by section 512, 513, or 514: amount",Part VIII Column (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/MiscellaneousRevenueGrp/UnrelatedBusinessRevenueAmt,USAmountType,Unrelated business revenue,Part VIII Column (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TypeOfOrganizationCorpInd,CheckboxType,Type of organization - corporation,K,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalRevenueGrp/UnrelatedBusinessRevenueAmt,USAmountType,Unrelated business revenue,Part VIII Column (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalRevenueGrp/TotalRevenueColumnAmt,USAmountType,Total revenue,Part VIII Column (A),1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TypeOfOrganizationTrustInd,CheckboxType,Type of organization - trust,K,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalRevenueGrp/ExclusionAmt,USAmountType,"Excluded by section 512, 513, or 514: amount",Part VIII Column (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalRevenueGrp/RelatedOrExemptFuncIncomeAmt,USAmountType,Related or exempt function revenue,Part VIII Column (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TypeOfOrganizationAssocInd,CheckboxType,Type of organization - association,K,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantsToDomesticOrgsGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FundraisingGrossIncomeAmt,USAmountType,"Gross income from fundraising events, Line 8a box",Part VIII Line 8a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantsToDomesticOrgsGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TypeOfOrganizationOtherInd,CheckboxType,Type of organization - other,K,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantsToDomesticIndividualsGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ContriRptFundraisingEventAmt,USAmountType,"Contributions reported from fundraising events on line 1c, Line 8a underline",Part VIII Line 8a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantsToDomesticIndividualsGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherOrganizationDsc,LineExplanationType,Type of organization - other description,K,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ForeignGrantsGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FundraisingDirectExpensesAmt,USAmountType,Direct expenses,Part VIII Line 8b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ForeignGrantsGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FormationYr,YearType,Year of formation,L,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/BenefitsToMembersGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/BenefitsToMembersGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/LegalDomicileStateCd,StateType,State of legal domicile,M,None,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GamingGrossIncomeAmt,USAmountType,Gross income from gaming,Part VIII Line 9a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/LegalDomicileCountryCd,CountryType,Country of legal domicile,M,None,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GamingDirectExpensesAmt,USAmountType,Direct expenses,Part VIII Line 9b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ActivityOrMissionDesc,ShortExplanationType,Activity or mission description,Part I Line 1,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompDisqualPersonsGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompDisqualPersonsGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ContractTerminationInd,CheckboxType,Termination or contraction,Part I Line 2,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompDisqualPersonsGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrossSalesOfInventoryAmt,USAmountType,"Gross sales of inventory, less returns and allowances",Part VIII Line 10a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CompDisqualPersonsGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/VotingMembersGoverningBodyCnt,IntegerNNType,Number voting members governing body,Part I Line 3,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherSalariesAndWagesGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CostOfGoodsSoldAmt,USAmountType,Less cost of goods sold,Part VIII Line 10b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherSalariesAndWagesGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/VotingMembersIndependentCnt,IntegerNNType,Number independent voting members,Part I Line 4,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherSalariesAndWagesGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherSalariesAndWagesGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalEmployeeCnt,IntegerNNType,total Number employees,Part I Line 5,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PensionPlanContributionsGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PensionPlanContributionsGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalVolunteersCnt,IntegerNNType,Total number volunteers,Part I Line 6,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PensionPlanContributionsGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PensionPlanContributionsGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalGrossUBIAmt,USAmountType,Total gross UBI,Part I Line 7a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherEmployeeBenefitsGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherRevenueTotalAmt,USAmountType,Other miscellaneous revenue total,Part VIII Line 11e,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherEmployeeBenefitsGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/NetUnrelatedBusTxblIncmAmt,USAmountType,Net unrelated business taxable income,Part I Line 7b,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherEmployeeBenefitsGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/OtherEmployeeBenefitsGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PYContributionsGrantsAmt,USAmountType,Contributions and grants - prior year,Part I Line 8,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PayrollTaxesGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/InfoInScheduleOPartIXInd,CheckboxType,Schedule O contains a response to a question in Part IX,Part IX,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PayrollTaxesGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CYContributionsGrantsAmt,USAmountType,Contributions and grants - current year,Part I Line 8,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PayrollTaxesGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PayrollTaxesGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PYProgramServiceRevenueAmt,USAmountType,Program service revenue - prior year,Part I Line 9,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesManagementGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesManagementGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CYProgramServiceRevenueAmt,USAmountType,Program service revenue - current year,Part I Line 9,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesManagementGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesManagementGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PYInvestmentIncomeAmt,USAmountType,Investment income - prior year,Part I Line 10,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLegalGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLegalGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CYInvestmentIncomeAmt,USAmountType,Investment income - current year,Part I Line 10,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLegalGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLegalGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PYOtherRevenueAmt,USAmountType,Other revenue - prior year,Part I Line 11,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesAccountingGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesAccountingGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CYOtherRevenueAmt,USAmountType,Other revenue - current year,Part I Line 11,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesAccountingGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesAccountingGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PYTotalRevenueAmt,USAmountType,Total revenue - prior year,Part I Line 12,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLobbyingGrp/TotalAmt,USAmountType,Total,col (A),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLobbyingGrp/FundraisingAmt,USAmountType,Fundraising,col (D),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/CYTotalRevenueAmt,USAmountType,Total revenue - current year,Part I Line 12,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLobbyingGrp/ProgramServicesAmt,USAmountType,Program services,col (B),0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/FeesForServicesLobbyingGrp/ManagementAndGeneralAmt,USAmountType,Management and general,col (C),0,None
